,Component,Brand,P/N,Supplier,Supplier P/N,Received,
,Crystal ,NDK,NX2520SA,Digi-Key,,,
,µc,Atmel,ATMEGA32U4,PJRC,,,
,RTC,MAXIM,DS3231SN,Digi-Key,,,
,BT1,KEYSTONE,3012 Battery holder,Digi-Key,,,
,Rotary Encoder,,EN11-HSM1AF15,Digi-Key,,,
,Display Modules,HP,HPDL-1414,UTSource,,1/4/16,
,USB Connector,Molex,105133-0011,Digi-Key,,,
,0603 passives,,,Adafruit,,1/5/16,
,Knobs,TBD,TBD,TBD,,,
,,,,,,,
UNUSED,,,,,,,
,Reset Switch,C&K Components,KMR231NG LFS,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
