Name,Component,Pin
GND,C6,1
GND,C2,2
GND,J8,6
GND,J3,8
GND,C13,1
GND,U1,15
GND,U1,23
GND,U1,35
GND,U1,5
GND,U1,43
GND,Y1,2
GND,Y1,4
GND,R3,2
GND,BT1,2
GND,C11,2
GND,SW1,3
GND,SW1,4
GND,SW1,6
GND,C12,2
GND,C5,1
GND,J1,5
GND,J1,6
GND,J1,7
GND,J1,8
GND,C9,1
GND,C7,1
GND,C1,2
GND,C8,1
GND,U2,13
GND,C10,1
ADDR0_2,DS1,5
ADDR0_2,J5,3
ADDR0_2,DS0,5
b-DT,U1,31
b-DT,SW1,2
b-DT,R7,1
b-DT,C12,1
VCC,J8,2
VCC,R9,2
VCC,C10,2
VCC,U2,2
VCC,R5,2
VCC,R6,2
VCC,R8,2
VCC,R7,2
VCC,J3,7
VCC,R4,2
VCC,C9,2
VCC,C6,2
VCC,C7,2
VCC,U1,2
VCC,U1,14
VCC,U1,24
VCC,U1,34
VCC,U1,44
VCC,U1,7
VCC,C8,2
VCC,J1,1
VCC,C13,2
(R2 - 2) (U1 - 4),U1,4
(R2 - 2) (U1 - 4),R2,2
WR1,U1,39
WR1,J3,2
ADDR1_2,DS1,4
ADDR1_2,J5,4
ADDR1_2,DS0,4
SQW,R9,1
SQW,U1,21
SQW,U2,3
DATA1,U1,9
DATA1,J8,3
DATA1,J2,2
DATA3,U1,11
DATA3,J8,1
DATA3,J2,4
DATA2_2,DS1,10
DATA2_2,J4,3
DATA2_2,DS0,10
DATA5_2,DS1,1
DATA5_2,J4,6
DATA5_2,DS0,1
(J8 - 5) (U1 - 13),U1,13
(J8 - 5) (U1 - 13),J8,5
WR0_2,J5,1
WR0_2,DS0,3
XTAL1,C2,1
XTAL1,U1,17
XTAL1,Y1,3
a-clk,R6,1
a-clk,C11,1
a-clk,U1,20
a-clk,SW1,1
DATA3_2,DS1,11
DATA3_2,J4,4
DATA3_2,DS0,11
e-SW,R8,1
e-SW,U1,27
e-SW,SW1,5
DATA1_2,DS1,9
DATA1_2,J4,2
DATA1_2,DS0,9
DATA5,J2,6
DATA5,U1,29
V_BATT,BT1,1
V_BATT,U2,14
SCL,U1,18
SCL,R5,1
SCL,U2,16
(R1 - 2) (U1 - 3),R1,2
(R1 - 2) (U1 - 3),U1,3
WR1_2,DS1,3
WR1_2,J5,2
GND_2,DS0,7
GND_2,DS1,7
GND_2,J5,8
DATA6,J2,7
DATA6,U1,30
DATA0,J2,1
DATA0,U1,8
(R3 - 1) (U1 - 33),U1,33
(R3 - 1) (U1 - 33),R3,1
DATA2,U1,10
DATA2,J8,4
DATA2,J2,3
DATA0_2,DS1,8
DATA0_2,J4,1
DATA0_2,DS0,8
DATA4_2,DS1,2
DATA4_2,J4,5
DATA4_2,DS0,2
(J1 - 2) (R1 - 1),R1,1
(J1 - 2) (R1 - 1),J1,2
VCC_2,DS1,6
VCC_2,J5,7
VCC_2,DS0,6
SDA,U1,19
SDA,R4,1
SDA,U2,15
ADDR0,J3,3
ADDR0,U1,40
WR0,J3,1
WR0,U1,38
DATA6_2,DS1,12
DATA6_2,J4,7
DATA6_2,DS0,12
(J1 - 3) (R2 - 1),J1,3
(J1 - 3) (R2 - 1),R2,1
DATA4,J2,5
DATA4,U1,28
XTAL2,C1,1
XTAL2,U1,16
XTAL2,Y1,1
(C5 - 2) (U1 - 6),U1,6
(C5 - 2) (U1 - 6),C5,2
ADDR1,U1,41
ADDR1,J3,4
